Branch,Asset Name,Resource Category,Resource Type,Amount,Unit,Total Greenhouse Gases (t CO2-e),Billing Start date,Billing End Date,CoM or Supply Chain,Peak amount,Off-peak amount
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,102.41,kWh,135.1812,01/18/2014 12:00:00 AM,02/18/2014 12:00:00 AM,CoM,29.88,72.53
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,0,kWh,0,02/19/2014 12:00:00 AM,03/19/2014 12:00:00 AM,CoM,0,0
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,0,kWh,0,03/20/2014 12:00:00 AM,04/16/2014 12:00:00 AM,CoM,0,0
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,86.9,kWh,114.708,04/17/2014 12:00:00 AM,05/19/2014 12:00:00 AM,CoM,26.76,60.14
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,102.5,kWh,135.3,05/20/2014 12:00:00 AM,06/18/2014 12:00:00 AM,CoM,32.39,70.11
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5611.98,kWh,7407.8136,12/30/2013 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,1726.32,3885.66
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1001.05,kWh,1321.386,10/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,324.94,676.11
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1190.38,kWh,1571.3016,01/01/2014 12:00:00 AM,04/01/2014 12:00:00 AM,CoM,460.57,729.81
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,394.18,kWh,520.3176,10/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,103.28,290.9
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,391.14,kWh,516.3048,01/01/2014 12:00:00 AM,04/01/2014 12:00:00 AM,CoM,102.08,289.06
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,536.82,kWh,708.6024,10/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,272.53,264.29
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,528.9,kWh,698.148,01/01/2014 12:00:00 AM,04/01/2014 12:00:00 AM,CoM,267.36,261.54
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1268.03,kWh,1673.7996,12/20/2013 12:00:00 AM,01/21/2014 12:00:00 AM,CoM,240.86,1027.17
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1220.11,kWh,1610.5452,01/22/2014 12:00:00 AM,02/20/2014 12:00:00 AM,CoM,256.19,963.92
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1369.83,kWh,1808.1756,02/21/2014 12:00:00 AM,03/21/2014 12:00:00 AM,CoM,359.24,1010.59
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1658.7,kWh,2189.484,03/22/2014 12:00:00 AM,04/22/2014 12:00:00 AM,CoM,480.84,1177.86
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1628.83,kWh,2150.0556,04/23/2014 12:00:00 AM,05/22/2014 12:00:00 AM,CoM,527.29,1101.54
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1598.32,kWh,2109.7824,05/23/2014 12:00:00 AM,06/20/2014 12:00:00 AM,CoM,518.48,1079.84
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1150.72,kWh,1518.9504,12/20/2013 12:00:00 AM,01/21/2014 12:00:00 AM,CoM,223.44,927.28
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1123.1,kWh,1482.492,01/22/2014 12:00:00 AM,02/20/2014 12:00:00 AM,CoM,230.34,892.76
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,893.26,kWh,1179.1032,02/21/2014 12:00:00 AM,03/21/2014 12:00:00 AM,CoM,235.43,657.83
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,826.09,kWh,1090.4388,03/22/2014 12:00:00 AM,04/22/2014 12:00:00 AM,CoM,258.39,567.7
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1391.77,kWh,1837.1364,04/23/2014 12:00:00 AM,05/22/2014 12:00:00 AM,CoM,461.81,929.96
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1622.42,kWh,2141.5944,05/23/2014 12:00:00 AM,06/20/2014 12:00:00 AM,CoM,543.66,1078.76
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,412.24,kWh,544.1568,10/30/2013 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,244.9,167.34
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,367.67,kWh,485.3244,02/01/2014 12:00:00 AM,05/05/2014 12:00:00 AM,CoM,209.09,158.58
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1324,kWh,1747.68,10/05/2013 12:00:00 AM,01/08/2014 12:00:00 AM,CoM,1324,0
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,1320.32,kWh,1742.8224,01/09/2014 12:00:00 AM,04/08/2014 12:00:00 AM,CoM,1320.32,0
Engineering Services,Administration - Corporate Fleet,Electricity,Electricity,14,kWh,18.48,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Engineering Services,Street Cleaning,Electricity,Electricity,66664.56,kWh,87997.2192,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Engineering Services,Pumping Station - Bent Street,Electricity,Electricity,153,kWh,202.6902272727,05/16/2014 12:00:00 AM,08/11/2014 12:00:00 AM,CoM,70.6,82.6
Engineering Services,Pumping Station - Bent Street,Electricity,Electricity,45,kWh,59.4,04/17/2014 12:00:00 AM,05/15/2014 12:00:00 AM,CoM,22.4,22.25
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,525,kWh,694.8064516129,05/01/2014 12:00:00 AM,08/01/2014 12:00:00 AM,CoM,261.86,263.38
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,7672,kWh,10159.4328888888,05/10/2014 12:00:00 AM,08/07/2014 12:00:00 AM,CoM,3108.07,4563.99
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,7775,kWh,10297.4573863636,05/13/2014 12:00:00 AM,08/08/2014 12:00:00 AM,CoM,2683.28,5091.53
Engineering Services,Information - Princes Bridge Pillar,Electricity,Electricity,13486,kWh,17858.4608888888,05/10/2014 12:00:00 AM,08/07/2014 12:00:00 AM,CoM,5626,7860
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,11093.333,kWh,14643.19956,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,5017.164,6076.169
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,9539.993,kWh,12592.79076,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,4277.058,5262.935
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,8759.524,kWh,11562.57168,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,3771.418,4988.106
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,10114.48,kWh,13351.1136,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,4164.519,5949.961
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,9182.511,kWh,12120.91452,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,4078.333,5104.178
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,9734.799,kWh,12849.93468,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,4238.673,5496.126
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,9294.78,kWh,12269.1096,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,4043.338,5251.442
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4662.313,kWh,6154.25316,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,1190.467,3471.846
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4765.804,kWh,6290.86128,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,1183.412,3582.392
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4715.691,kWh,6224.71212,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,1176.647,3539.044
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5902.619,kWh,7791.45708,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,1478.224,4424.395
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6443.735,kWh,8505.7302,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,1915.522,4528.213
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6880.678,kWh,9082.49496,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,2040.13,4840.548
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6562.38,kWh,8662.3416,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,2042.139,4520.241
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,3515.495,kWh,4640.4534,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,886.18,2629.315
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,3449.66,kWh,4553.5512,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,892.63,2557.03
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,3611.14,kWh,4766.7048,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,913.665,2697.475
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4380.31,kWh,5782.0092,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,1152.57,3227.74
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4655.705,kWh,6145.5306,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,1467.415,3188.29
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4997.425,kWh,6596.601,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,1578.64,3418.785
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4928.37,kWh,6505.4484,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,1585.915,3342.455
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4511.665,kWh,5955.3978,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,1146.305,3365.36
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4444.795,kWh,5867.1294,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,1146.465,3298.33
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4223.19,kWh,5574.6108,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,1080.91,3142.28
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4929.405,kWh,6506.8146,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,1311.24,3618.165
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4482.76,kWh,5917.2432,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,1494.495,2988.265
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6598.16,kWh,8709.5712,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,2079.11,4519.05
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6502.93,kWh,8583.8676,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,2074.9,4428.03
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,8132.135,kWh,10734.4182,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,3393.035,4739.1
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,8503.49,kWh,11224.6068,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,3626.99,4876.5
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,7571.765,kWh,9994.7298,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,3113.905,4457.86
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,9153.205,kWh,12082.2306,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,3606.995,5546.21
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,9016.275,kWh,11901.483,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,3749.73,5266.545
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,9549.57,kWh,12605.4324,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,3921.37,5628.2
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,8359.245,kWh,11034.2034,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,3267.595,5091.65
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,7052.942,kWh,9309.88344,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,2291.556,4761.386
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5885.46,kWh,7768.8072,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,1989.644,3895.816
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,10196.49,kWh,13459.3668,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,2962.625,7233.865
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,20281.131,kWh,26771.09292,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,7528.301,12752.83
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6742.189,kWh,8899.68948,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,2294.551,4447.638
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,9797.34,kWh,12932.4888,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,3673.676,6123.664
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,53152.195,kWh,70160.8974,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,30160.686,22991.509
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,4022.912,kWh,5310.24384,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,1120.877,2902.035
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5141.776,kWh,6787.14432,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,1918.673,3223.103
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5170.666,kWh,6825.27912,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,1904.798,3265.868
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,11273.265,kWh,14880.7098,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,4508.427,6764.838
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5700.552,kWh,7524.72864,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,1719.315,3981.237
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,5941.149,kWh,7842.31668,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,1890.194,4050.955
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,6228.928,kWh,8222.18496,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,2123.332,4105.596
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,24409.973,kWh,32221.16436,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Supply Chain,6302.776,18107.197
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,25182.791,kWh,33241.28412,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,Supply Chain,6442.908,18739.883
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,24958.264,kWh,32944.90848,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,Supply Chain,6287.704,18670.56
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,30729.19,kWh,40562.5308,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,Supply Chain,7781.402,22947.788
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,32878.51,kWh,43399.6332,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,Supply Chain,9540.893,23337.617
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,36659.268,kWh,48390.23376,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,Supply Chain,11039.891,25619.377
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,36690.549,kWh,48431.52468,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,11426.34,25264.209
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,236765.882,kWh,312530.96424,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Supply Chain,61133.977,175631.905
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,247211.498,kWh,326319.17736,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,Supply Chain,63247.905,183963.593
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,244901.693,kWh,323270.23476,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,Supply Chain,61697.772,183203.921
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,300719.781,kWh,396950.11092,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,Supply Chain,76149.833,224569.948
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,321340.639,kWh,424169.64348,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,Supply Chain,93248.644,228091.995
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,358028.588,kWh,472597.73616,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,Supply Chain,107819.908,250208.68
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,349357.431,kWh,461151.80892,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,108798.8,240558.631
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,43336.899,kWh,57204.70668,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Supply Chain,11189.795,32147.104
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,45629.397,kWh,60230.80404,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,Supply Chain,11674.073,33955.324
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,44917.883,kWh,59291.60556,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,Supply Chain,11316.107,33601.776
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,55303.923,kWh,73001.17836,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,Supply Chain,14004.342,41299.581
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,59082.356,kWh,77988.70992,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,Supply Chain,17144.882,41937.474
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,65856.265,kWh,86930.2698,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,Supply Chain,19832.539,46023.726
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,64746.017,kWh,85464.74244,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,20163.546,44582.471
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,184226.97,kWh,243179.6004,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Supply Chain,47568.11,136658.86
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,189329.951,kWh,249915.53532,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,Supply Chain,48439.173,140890.778
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,185225.019,kWh,244497.02508,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,Supply Chain,46663.51,138561.509
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,228467.858,kWh,301577.57256,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,Supply Chain,57853.814,170614.044
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,243474.289,kWh,321386.06148,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,Supply Chain,70652.904,172821.385
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,271513.956,kWh,358398.42192,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,Supply Chain,81766.146,189747.81
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,275452.095,kWh,363596.7654,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,85782.773,189669.322
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,168254.142,kWh,222095.46744,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Supply Chain,43444.03,124810.112
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,201888.154,kWh,266492.36328,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,Supply Chain,51652.13,150236.024
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,199371.442,kWh,263170.30344,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,Supply Chain,50227.386,149144.056
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,245562.658,kWh,324142.70856,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,Supply Chain,62182.657,183380.001
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,262648.528,kWh,346696.05696,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,Supply Chain,76216.981,186431.547
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,292918.482,kWh,386652.39624,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,Supply Chain,88212.062,204706.42
Engineering Services,Street Lighting - Citipower,Electricity,Electricity,249555.035,kWh,329412.6462,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,77717.759,171837.276
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,32087.978,kWh,42356.13096,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,8304.028,23783.95
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,32973.426,kWh,43524.92232,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,8429.983,24543.443
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,32777.052,kWh,43265.70864,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,8278.075,24498.977
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,40275.356,kWh,53163.46992,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,10176.755,30098.601
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,43001.953,kWh,56762.57796,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,12508.808,30493.145
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,47910.634,kWh,63242.03688,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,14459.334,33451.3
Engineering Services,Street Lighting - Melbourne Network,Electricity,Electricity,48021.74,kWh,63388.6968,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,14942.78,33078.96
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,11593.203,kWh,15303.02796,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,7751.46,3841.743
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,16150.886,kWh,21319.16952,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,11945.306,4205.58
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,13680.641,kWh,18058.44612,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,9994.402,3686.239
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,12653.273,kWh,16702.32036,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,8846.586,3806.687
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,11519.807,kWh,15206.14524,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,8298.575,3221.232
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,14022.458,kWh,18509.64456,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,10203.934,3818.524
Engineering Services,Street Lighting - Docklands Network,Electricity,Electricity,15686.271,kWh,20705.87772,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,11654.992,4031.279
Engineering Services,Information - Elizabeth Street Pillar,Electricity,Electricity,0,kWh,0,05/16/2013 12:00:00 AM,08/13/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information - Elizabeth Street Pillar,Electricity,Electricity,0,kWh,0,08/14/2013 12:00:00 AM,10/21/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information - Elizabeth Street Pillar,Electricity,Electricity,0,kWh,0,10/22/2013 12:00:00 AM,11/11/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information - Exhibition Street Pillar,Electricity,Electricity,377.804,kWh,503.1363704348,05/08/2013 12:00:00 AM,08/07/2013 12:00:00 AM,CoM,128.83,248.974
Engineering Services,Information - Exhibition Street Pillar,Electricity,Electricity,320.967,kWh,423.67644,08/08/2013 12:00:00 AM,11/07/2013 12:00:00 AM,CoM,93.751,227.216
Engineering Services,Information - Exhibition Street Pillar,Electricity,Electricity,262.883,kWh,347.00556,11/08/2013 12:00:00 AM,02/06/2014 12:00:00 AM,CoM,62.813,200.07
Engineering Services,Information - Exhibition Street Pillar,Electricity,Electricity,15.641,kWh,20.64612,02/07/2014 12:00:00 AM,05/08/2014 12:00:00 AM,CoM,6.168,9.473
Engineering Services,Information - King Street Pillar,Electricity,Electricity,349.803,kWh,465.8463430435,05/08/2013 12:00:00 AM,08/07/2013 12:00:00 AM,CoM,121.458,228.345
Engineering Services,Information - King Street Pillar,Electricity,Electricity,260.832,kWh,344.29824,08/08/2013 12:00:00 AM,11/07/2013 12:00:00 AM,CoM,77.986,182.846
Engineering Services,Information - King Street Pillar,Electricity,Electricity,221.508,kWh,292.39056,11/08/2013 12:00:00 AM,02/07/2014 12:00:00 AM,CoM,56.14,165.368
Engineering Services,Information - King Street Pillar,Electricity,Electricity,263.278,kWh,347.52696,02/08/2014 12:00:00 AM,05/09/2014 12:00:00 AM,CoM,82.027,181.251
Engineering Services,Information Pillar - Spencer Street,Electricity,Electricity,0,kWh,0,05/08/2013 12:00:00 AM,08/07/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information Pillar - Spencer Street,Electricity,Electricity,0,kWh,0,08/08/2013 12:00:00 AM,11/07/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information Pillar - Spencer Street,Electricity,Electricity,0,kWh,0,11/08/2013 12:00:00 AM,02/07/2014 12:00:00 AM,CoM,0,0
Engineering Services,Information Pillar - Spencer Street,Electricity,Electricity,0,kWh,0,02/08/2014 12:00:00 AM,05/09/2014 12:00:00 AM,CoM,0,0
Engineering Services,Information - Queen Street Pillar,Electricity,Electricity,0,kWh,0,05/17/2013 12:00:00 AM,08/16/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information - Queen Street Pillar,Electricity,Electricity,0,kWh,0,08/17/2013 12:00:00 AM,11/15/2013 12:00:00 AM,CoM,0,0
Engineering Services,Information - Queen Street Pillar,Electricity,Electricity,0,kWh,0,11/16/2013 12:00:00 AM,02/14/2014 12:00:00 AM,CoM,0,0
Engineering Services,Information - Queen Street Pillar,Electricity,Electricity,0,kWh,0,02/15/2014 12:00:00 AM,05/16/2014 12:00:00 AM,CoM,0,0
